"Timestamp","Team Number","Match Type","Match Number","What did the robot do during autonomous?","Starting Position","Comments","Rate this robot's autonomous:","Cubes placed in Exchange Zone (EZ)","Cubes placed in Switch","Cubes placed in Scale","Which of these things did the robot do?","Rate the Cycle Time","Rate the Driving Ability","What did the robot do in endgame?","What was the robot's primary function?","What was the team's result?","How many points did the team's alliance score?","How many points did the other alliance score?","General Comments"
"2018/03/01 1:32:04 PM EST","667","Practice","8","Nothing - robot did not move","Left","","1","2","0","0","Pick cube off the floor","1","1","Neither","Offense","Loss","147","238","Had hands. V unnerving "
"2018/03/01 1:32:50 PM EST","4145","Practice","7","Cross Baseline;Put Cube(s) in Switch (if multiple specify below)","Middle","Fast","3","1","0","2","Pick cube off the floor;Get cube from the portal","2","1","Attempted Climb","Offense","Win","238","147","Penalty block landing on scale badly and fell"
"2018/03/01 1:33:40 PM EST","2172","Practice","8","Nothing - robot did not move","Right","","1","0","1","1","Pick cube off the floor","1","1","Neither","Offense","Win","238","147","Keep vibrating and sipping. Had 5 panal ty for blue team. Ca n not grab the boxes well. Failed to clime on the platform."
"2018/03/01 1:43:12 PM EST","3844","Practice","9","Nothing - robot did not move","Left","","1","0","0","0","Neither","1","1","Neither","Both","Loss","207","197","Only moved a little bit "
"2018/03/01 1:44:45 PM EST","1466","Practice","9","Cross Baseline;Put Cube(s) in Scale (if multiple specify below)","Right","","5","0","1","3","Pick cube off the floor","3","3","Platform","Offense","Loss","222","247",""
"2018/03/01 1:44:48 PM EST","4283","Practice","7","Nothing - attempted auto and failed (explain below);Tried to put cube in switch","Middle","","2","4","0","0","Pick cube off the floor","1","1","Neither","Offense","Loss","222","247","The robot lost connection mid-match but got it back by the end. They only out cubes in the EZ and got faster as the match went on. "
"2018/03/01 1:45:06 PM EST","3266","Practice","9","Nothing - attempted auto and failed (explain below)","Left","Dropped cube ","1","8","0","0","Pick cube off the floor","3","2","Platform","Offense","Win","247","222",""
"2018/03/01 1:45:57 PM EST","4611","Practice","9","Nothing - attempted auto and failed (explain below);Cross Baseline;Put Cube(s) in Scale (if multiple specify below)","Right","Dropped cube at the start","3","0","0","4","Pick cube off the floor","2","2","Successful Climb","Offense","Win","247","222","Got stuck on Scale and a bit tippy"
"2018/03/01 1:53:33 PM EST","4121","Practice","10","Cross Baseline","Left","Dropped cube","3","0","1","0","Pick cube off the floor","2","1","Neither","Offense","Loss","182"," 563","Couldn’t climb on to platform and place one in the wrong sideband not good at operating"
"2018/03/01 1:54:28 PM EST","279","Practice","10","Cross Baseline","Right","attempted to put cube in switch","2","0","2","1","Pick cube off the floor","2","2","Platform","Offense","Loss","182","563","Robot had multiple scale attempts but dropped the cube"
"2018/03/01 1:55:15 PM EST","2603","Practice","10","Nothing - robot did not move","Middle","","1","0","0","0","Neither","1","1","Neither","Offense","Loss","182","563","Basically didn’t do anything; couldn’t even pick up a cube"
"2018/03/01 1:55:49 PM EST","3492","Practice","10","Nothing - robot did not move","Middle","","1","0","0","1","Pick cube off the floor","2","1","Neither","Offense","Win","333","182","I started scouting mid-match and they spent the whole time I was watching them stuck on the scale. They seemed to have lost control of the robot. Some of the info above may be inaccurate because I started in the middle. Sorry!"
"2018/03/01 2:02:00 PM EST","379","Practice","11","Nothing - robot did not move;Nothing - attempted auto and failed (explain below)","Left","Attempts to do scale cube","3","0","3","5","Pick cube off the floor","3","3","Successful Climb","Offense","Win","284","50","Flowered and picked up another robot "
"2018/03/01 2:02:04 PM EST","3777","Practice","10","Cross Baseline;Put Cube(s) in Switch (if multiple specify below)","Right","","3","0","1","0","Get cube from the portal","1","2","Neither","Offense","Win","563","182","Didn't do a lot tbh"
"2018/03/01 2:02:51 PM EST","3324","Practice","11","Nothing - robot did not move","Right","","1","0","0","0","Neither","1","1","Neither","Both","Win","284","50","the drivers made no attempt to control the robot I’m confused. they didn’t have a preloaded cube though"
"2018/03/01 2:03:02 PM EST","4521","Practice","11","Nothing - attempted auto and failed (explain below);Cross Baseline","Middle","","2","0","2","0","Pick cube off the floor","2","3","Successful Climb","Offense","Win","284","50","It climbed onto another robot (didn’t actually climb itself)"
"2018/03/01 2:03:21 PM EST","5413","Practice","11","Nothing - attempted auto and failed (explain below);It moved its claw down but that’s it","Middle","","2","0","1","2","Pick cube off the floor","1","1","Neither","Offense","Loss","50","249","Their robot seemed to be malfunctioning. They stopped mid match to drive the robot to their driver station. They tested for the rest of the match."
"2018/03/01 2:04:04 PM EST","128","Practice","11","Cross Baseline","Left","Attempted to put cube in switch but failed ","2","0","0","0","Neither","1","1","Attempted Climb","Offense","Loss","50","249","Robot had a hard time picking cubes up. Very slow. Deployed a climber during end game but wasn’t close to climbing. "
"2018/03/01 2:09:00 PM EST","4362","Practice","12","Nothing - robot did not move","Middle","","1","0","0","5","Pick cube off the floor","2","3","Platform","Offense","Win","220","206","This robot was amazing and the drivers are really good"
"2018/03/01 2:09:31 PM EST","1014","Practice","12","Cross Baseline","Left","","2","2","1","2","Pick cube off the floor","2","1","Platform","Offense","Win","220","206","overall good plan and performance but drivers seemed a little shaky at some points. very versatile robot with tasks"
"2018/03/01 2:09:34 PM EST","4284","Practice","12","Cross Baseline","Left","They tried to put cube onto scale but failed","2","0","0","1","Pick cube off the floor","2","2","Platform","Offense","Loss","206","220","Had a lot of difficulty picking up the cubes and holding on to them. Also their “wrist” was broken at one end so that also screwed them up."
"2018/03/01 2:11:17 PM EST","3010","Practice","12","Nothing - attempted auto and failed (explain below)","Middle","It looked like the robot turned the wrong way in auto causing it to run into the wall instead of towards the switch","2","7","2","0","Pick cube off the floor","2","2","Platform","Offense","Loss","206","220"," Good at putting cubes in EZ. Dropped one cube but still got it in the EZ by pushing. "
"2018/03/01 2:17:04 PM EST","5740","Practice","13","Nothing - robot did not move","Left","","1","0","0","0","Neither","1","1","Neither","Defense","Loss","160","363","Robot did not move throughout the entire match"
"2018/03/01 2:17:21 PM EST","554","Practice","13","Cross Baseline;Put Cube(s) in Scale (if multiple specify below)","Left","","4","0","3","1","Pick cube off the floor","2","2","Successful Climb","Offense","Win","363","160","Tippy when trying to climb. Hard time collecting cubes. Put cubes in opponents switch quickly."
"2018/03/01 2:17:25 PM EST","3266","Practice","13","Nothing - robot did not move","Middle","","1","4","3","0","Pick cube off the floor","2","2","Neither","Offense","Loss","160","363","The drivers ability was in between a 1 and 2"
"2018/03/01 2:17:33 PM EST","337","Practice","13","Cross Baseline","Middle","Got a cube but failed to put it in switch","2","1","0","0","Pick cube off the floor","1","1","Neither","Offense","Win","363","160","Didn’t do anything for most of the match"
"2018/03/01 2:19:20 PM EST","5667","Practice","13","Nothing - robot did not move","Right","","1","0","0","0","Neither","1","1","Attempted Climb","Offense","Loss","150","363","This team had incredibly slow-moving driving and manipulators. They got several tech fouls for unintentionally pushing the scale and not fixing the issue for several seconds."
"2018/03/01 2:28:25 PM EST","4611","Practice","14","Cross Baseline;Put Cube(s) in Switch (if multiple specify below)","Middle","","4","0","0","3","Pick cube off the floor","1","1","Successful Climb","Offense","Win","303","160","Very slow in collecting cubes. Kind of tippy putting cubes on scale."
"2018/03/01 2:28:29 PM EST","451","Practice","14","Cross Baseline","Left","","2","2","2","0","Pick cube off the floor","2","2","Platform","Offense","Win","273","160","robot was good at maneuvering and overall did well"
"2018/03/01 2:30:07 PM EST","3777","Practice","14","Cross Baseline;Put Cube(s) in Switch (if multiple specify below)","Right","Standard auto","4","0","3","0","Get cube from the portal","2","2","Platform","Defense","Loss","160","303","Standard portal-switch runner robot. They dropped a cube once but aside from that were decent and efficient. They cannot pick up from the floor or place on the scale or climb. I love them anyway "
"2018/03/01 2:34:46 PM EST","2172","Practice","15","Nothing - robot did not move","Right","","1","0","0","0","Neither","1","2","Attempted Climb","Offense","Loss","184","333",""
"2018/03/01 2:35:09 PM EST","1317","Practice","15","Cross Baseline","Middle","","2","4","2","0","Pick cube off the floor","2","2","Platform","Offense","Win","333","184","Stay closer to ground so not tippy at all"
"2018/03/01 2:35:12 PM EST","302","Practice","15","Cross Baseline","Left","Tried and failed to place in scale","3","0","0","3","Pick cube off the floor","2","2","Platform","Offense","Win","333","174","Their collector wheel fell off mid-match so they dropped every cube they tried to place after the third."
"2018/03/01 2:36:27 PM EST","279","Practice","15","Cross Baseline","Right","","3","0","0","0","Pick cube off the floor","1","2","Platform","Offense","Win","333","184","Collected 3 cubes attempted to place all 3 in scale. Dropped all 3. Collector does not seem to be very good at either collecting or holding cubes."
"2018/03/01 2:36:31 PM EST","2252","Practice","15","Nothing - attempted auto and failed (explain below)","Middle","Drove into a pile of cubes (probably tried to put it in switch)","2","0","2","3","Pick cube off the floor","3","3","Attempted Climb","Offense","Loss","184","333","Dropped a fork"
"2018/03/01 2:45:12 PM EST","3010","Practice","16","Cross Baseline","Right","Attempted cube in switch ","2","0","2","3","Pick cube off the floor","2","2","Neither","Offense","Loss","182","262","good tactic but missed scale a couple times"
"2018/03/01 2:45:35 PM EST","1466","Practice","16","Cross Baseline;Put Cube(s) in Scale (if multiple specify below)","Left","","4","4","0","1","Pick cube off the floor","2","3","Platform","Offense","Win","262","192","Very zoomy and very good at driving by they could like do exactly what they wanted"
"2018/03/01 2:45:42 PM EST","4145","Practice","16","Cross Baseline","Middle","Almost put cube in switch","3","0","1","0","Get cube from the portal","2","2","Attempted Climb","Offense","Loss","192","262","Almost got 2 cubes onto the scale"
"2018/03/01 2:45:53 PM EST","3940","Practice","16","Nothing - attempted auto and failed (explain below);Ran into the pile. Then another bot through a cube at it","Right","","1","0","1","4","Pick cube off the floor","3","2","Attempted Climb","Offense","Win","262","192","They didn’t have time to climb. They kept knocking their own cubes off of the scale and having to replace them."
"2018/03/01 2:46:58 PM EST","3397","Practice","16","Nothing - attempted auto and failed (explain below)","Middle","Drove forward a bit stopped dropped cube on other robot","2","0","3","0","Pick cube off the floor","2","2","Neither","Offense","Win","262","192","They placed a few cubes in the switch but it appeared they were having collected problems toward the end of the match. They started having problems collecting and holding on to cubes. "
"2018/03/01 2:47:58 PM EST","3201","Practice","16","Nothing - attempted auto and failed (explain below)","Left","Tried to put cube into switch but got caught on the corner","1","0","1","0","Neither","2","2","Attempted Climb","Offense","Loss","192","262","Tried to collect cubes and tried to deposit into scale but got caught "
"2018/03/01 2:57:21 PM EST","554","Practice","17","Cross Baseline","Right","","4","0","3","1","Pick cube off the floor","2","2","Successful Climb","Offense","Win","267","158","Lined up to the scale in autonomous but when let go it didn’t make it"
"2018/03/01 2:57:33 PM EST","6032","Practice","18","Nothing - robot did not move","Left","","1","8","0","0","Pick cube off the floor","3","2","Neither","Offense","Loss","158","267","robot was very good at moving cubes to the ez and did that the whole time"
"2018/03/01 2:57:47 PM EST","4283","Practice","17","Cross Baseline","Middle","","3","1","1","0","Pick cube off the floor","1","1","Neither","Offense","Win","267","158","It was browning out the whole match"
"2018/03/01 2:58:26 PM EST","2399","Practice","17","Nothing - robot did not move","Left","DID NOT MOVE","1","0","0","0","Neither","1","1","Neither","Both","Loss","158","267","ROBOT DID NOT MOVE HAS LIFT/COLLECTOR"
"2018/03/01 3:05:57 PM EST","4085","Practice","19","Cross Baseline","Middle","","2","3","3","0","Neither","1","2","Neither","Offense","Win","256","130","robot was successful but very slow"
"2018/03/01 3:06:03 PM EST","379","Practice","18","Cross Baseline","Right","","2","0","1","4","Pick cube off the floor","2","2","Successful Climb","Offense","Win","256","130",""
"2018/03/01 3:06:37 PM EST","2603","Practice","18","Nothing - robot did not move","Right","","1","0","0","0","Neither","1","1","Neither","Both","Loss","130","256","The entire time the robot was just moving back  and forth"
"2018/03/01 3:06:40 PM EST","5811","Practice","18","Nothing - robot did not move","Middle","","1","0","2","4","Pick cube off the floor","3","2","Neither","Defense","Loss","130","256",""
"2018/03/01 3:06:49 PM EST","3484","Practice","18","Nothing - robot did not move","Left","","1","0","0","0","Neither","1","1","Neither","Both","Loss","130","261","Literally did not move one inch. The drive team wasn’t even doing anything. Like just stood with arms crossed watching other bots."
"2018/03/01 3:07:25 PM EST","3777","Practice","18","Cross Baseline","Left","Attempted cubes in switch ","1","0","2","0","Get cube from the portal","2","2","Attempted Climb","Offense","Win","256","130","banged into the wall several times not great at receiving from portal"
"2018/03/01 3:21:19 PM EST","3844","Practice","19","Nothing - robot did not move","Middle","","1","0","0","0","Neither","1","1","Neither","Both","Loss","78","362","Didn’t even move"
"2018/03/01 3:21:19 PM EST","291","Practice","19","Nothing - attempted auto and failed (explain below)","Left","","2","1","0","5","Pick cube off the floor","2","3","Platform","Offense","Win","362","78",""
"2018/03/01 3:21:31 PM EST","4028","Practice","19","Nothing - robot did not move","Left","","1","0","0","1","Pick cube off the floor","2","2","Neither","Offense","Loss","78","362","Low precision in putting the cube on the scale"
"2018/03/01 3:21:33 PM EST","4467","Practice","19","Cross Baseline","Right","","2","3","0","0","Pick cube off the floor","2","2","Neither","Offense","Win","362","78","robot seemed a bit shaky but performed its tasks"
"2018/03/01 3:22:12 PM EST","677","Practice","19","Nothing - attempted auto and failed (explain below)","Right","It moved about 2 feet","1","2","0","0","Neither","1","1","Neither","Offense","Loss","78","362","Partially on and partially off platform.  Robot had hands. V uncomfy pt 2"
"2018/03/01 3:30:31 PM EST","1466","Practice","20","Put Cube(s) in Switch (if multiple specify below)","Middle","","3","5","0","0","Pick cube off the floor","2","2","Platform","Offense","Win","284","227",""
"2018/03/01 3:30:41 PM EST","3324","Practice","20","Nothing - robot did not move","Left","","1","7","1","0","Pick cube off the floor","2","2","Neither","Offense","Loss","227","284","Rlly good at putting cube into the ez"
"2018/03/01 3:31:12 PM EST","4145","Practice","20","Nothing - attempted auto and failed (explain below)","Left","Shot a cube at the thingy","2","0","0","3","Pick cube off the floor","2","2","Attempted Climb","Offense","Win","284","227","Kept missing scale"
"2018/03/01 3:31:37 PM EST","6936","Practice","20","Nothing - attempted auto and failed (explain below);Moved only few inches and stop","Middle","","1","0","0","0","Pick cube off the floor","1","1","Platform","Offense","Loss","284","227","Slow. It can barely hold the boxes and can not put those in the switch and the scale."
"2018/03/01 3:32:49 PM EST","2252","Practice","20","Nothing - attempted auto and failed (explain below);Cross Baseline","Right","","2","0","0","3","Pick cube off the floor","2","2","Platform","Offense","Loss","227","284","A bit tippy. Almost looked like attempted climb"
"2018/03/01 3:43:29 PM EST","6765","Practice","21","Cross Baseline","Right","","2","0","3","0","Get cube from the portal","2","2","Neither","Offense","Loss","219","205","Very fast"
"2018/03/01 3:43:32 PM EST","4611","Practice","21","Nothing - attempted auto and failed (explain below)","Middle","Cube Wasn’t at frame position st start","1","0","1","3","Pick cube off the floor","2","2","Platform","Offense","Win","219","205","almost tipped"
"2018/03/01 3:43:40 PM EST","3484","Practice","21","Cross Baseline","Left","Cube wasn’t in frame perimeter at start","2","3","2","0","Pick cube off the floor","2","2","Successful Climb","Both","Loss","205","219","Their motor fell off their collector"
"2018/03/01 3:44:41 PM EST","128","Practice","21","Cross Baseline","Left","","3","0","1","0","Neither","1","1","Platform","Offense","Win","219","205","Dropped cube"
"2018/03/01 3:45:35 PM EST","4121","Practice","21","Cross Baseline","Right","Cube got stuck in the frame. ","3","0","0","0","Pick cube off the floor","1","1","Neither","Offense","Win","219","205","Dropped the cube on itself. Never collectors successfully. So slow. Looked sort of flimsy. "
"2018/03/01 3:56:23 PM EST","3010","Practice","22","Cross Baseline;Put Cube(s) in Switch (if multiple specify below)","Right","","5","0","0","1","Pick cube off the floor","1","1","Neither","Offense","Win","364","195",""
"2018/03/01 3:56:25 PM EST","48","Practice","22","Nothing - attempted auto and failed (explain below)","Left","Tried to put cube in right scal but cube fell","2","0","0","0","Pick cube off the floor","2","2","Neither","Offense","Loss","195","364","Penalty for running into switch and robot stopped working 10 sec into tele op"
"2018/03/01 3:56:28 PM EST","379","Practice","22","Cross Baseline;Put Cube(s) in Switch (if multiple specify below)","Middle","","3","0","5","2","Pick cube off the floor","3","3","Platform","Offense","Win","364","195","Good job"
"2018/03/01 3:56:32 PM EST","4362","Practice","22","Nothing - attempted auto and failed (explain below)","Middle","Tried to put cube in switch ","1","0","1","3","Pick cube off the floor","2","2","Neither","Offense","Loss","195","364","Got caught on side of the scale"
"2018/03/01 3:58:26 PM EST","3266","Practice","22","Cross Baseline;Put Cube(s) in Switch (if multiple specify below)","Right","","4","3","3","0","Pick cube off the floor","3","2","Platform","Offense","Loss","195","354","Good collector. Never dropped a cube. Looked tall enough to access scale but never attempted it. "
"2018/03/01 4:02:46 PM EST","4521","Practice","23","Cross Baseline","Right","","3","0","1","2","Pick cube off the floor","2","2","Successful Climb","Offense","Win","204","168","I like the design of this robot"
"2018/03/01 4:02:48 PM EST","5811","Practice","23","Put Cube(s) in Switch (if multiple specify below)","Left","Put it in right side of switch ","4","0","0","0","Neither","2","2","Neither","Offense","Loss","168","204","Stopped working after auto "
"2018/03/01 4:02:57 PM EST","337","Practice","23","Put Cube(s) in Switch (if multiple specify below)","Left","","3","0","0","1","Pick cube off the floor","2","2","Neither","Offense","Loss","168","204","ROBOT GOT DISCONNECTED "
"2018/03/01 4:03:00 PM EST","4283","Practice","23","Nothing - robot did not move","Middle","","1","0","1","0","Pick cube off the floor","1","1","Neither","Both","Win","204","168","Didnt move much"
"2018/03/01 4:12:36 PM EST","1038","Practice","24","Cross Baseline","Middle","","3","0","0","3","Pick cube off the floor","2","2","Neither","Offense","Win","251","202","Dropped th boxes twice"
"2018/03/01 4:13:01 PM EST","554","Practice","24","Put Cube(s) in Scale (if multiple specify below)","Left","Scale on their side","4","0","0","0","Neither","1","2","Successful Climb","Both","Loss","202","251","Struggles to pick up cubes so tried playing defense....got penalty for blocking"
"2018/03/01 4:13:08 PM EST","3201","Practice","24","Nothing - attempted auto and failed (explain below)","Left","","2","0","1","0","Pick cube off the floor","1","2","Neither","Defense","Win","251","202","Had a lot of difficulty picking up cubes. Almost got platform"
"2018/03/01 4:13:43 PM EST","1675","Practice","24","Nothing - robot did not move","Right","","1","0","0","0","Neither","1","1","Neither","Both","Loss","202","251","Didn’t move the entire match. Drive team didn’t seam that distressed. Maybe this is common/expected. "
"2018/03/01 4:13:56 PM EST","5413","Practice","24","Nothing - robot did not move","Middle","","1","0","2","2","Pick cube off the floor","2","2","Platform","Offense","Loss","202","251","Tippy and lost a cube"
"2018/03/01 4:20:22 PM EST","4145","Practice","25","Cross Baseline","Middle","Try to put in scale failed","2","0","0","6","Pick cube off the floor","3","3","Neither","Offense","Loss","146","225","Good job"
"2018/03/01 4:20:28 PM EST","3397","Practice","25","Cross Baseline","Middle","Barely crossed","2","2","5","0","Pick cube off the floor","3","3","Attempted Climb","Offense","Loss","146","225","Kind of tippy but also very zoomy and super good at switch "
"2018/03/01 4:20:42 PM EST","3324","Practice","25","Nothing - robot did not move","Right","","1","0","2","0","Pick cube off the floor","1","2","Neither","Offense","Win","225","146","Drove really fast into another robot on same alliance"
"2018/03/01 4:20:59 PM EST","6765","Practice","25","Cross Baseline","Right","","3","0","2","0","Get cube from the portal","2","3","Neither","Both","Loss","146","225","Fast good at defense"
"2018/03/01 4:21:16 PM EST","291","Practice","25","Nothing - robot did not move","Right","","1","1","2","4","Pick cube off the floor;Get cube from the portal","3","3","Neither","Offense","Win","225","146","Very speedy. Good strategy. Didn’t drive on the platform because they were busy practicing with the EZ. "
"2018/03/01 4:22:14 PM EST","6460","Practice","25","Nothing - robot did not move","Middle","","1","2","0","0","Pick cube off the floor","1","2","Neither","Offense","Win","225","146","GOT RAMMED MIDMATCH AND COULDNT DO ANYTHING"
"2018/03/01 4:28:18 PM EST","1317","Practice","26","Cross Baseline","Right","","3","4","0","0","Pick cube off the floor","3","2","Platform","Offense","Win","290","282",""
"2018/03/01 4:28:29 PM EST","2252","Practice","26","Cross Baseline","Middle","Attempt switch","3","0","0","6","Pick cube off the floor","3","3","Attempted Climb","Offense","Win","290","282","Very speedy not super accurate with tossing on scale"
"2018/03/01 4:28:45 PM EST","5740","Practice","26","Cross Baseline","Left","","2","0","1","0","Get cube from the portal","2","2","Neither","Offense","Loss","282","290","Got a cube stuck in it and controlled moyyre than one cube....3 fouls"
"2018/03/01 4:28:51 PM EST","3504","Practice","26","Put Cube(s) in Switch (if multiple specify below)","Middle","","4","1","0","1","Pick cube off the floor","2","2","Platform","Offense","Loss","282","290","Lots and lots of penalties on both sides"
"2018/03/01 4:29:25 PM EST","4611","Practice","26","Cross Baseline;Put Cube(s) in Switch (if multiple specify below)","Right","","3","0","0","4","Pick cube off the floor","2","2","Successful Climb","Offense","Loss","282","290","Decent robot. Weird yet successful collector. Tippy robot. "
"2018/03/01 4:37:31 PM EST","337","Practice","27","Nothing - attempted auto and failed (explain below)","Middle","Moved toward little bit","2","0","0","0","Neither","1","1","Neither","Both","Loss","178","311","Didn’t move"
"2018/03/01 4:37:53 PM EST","1559","Practice","27","Cross Baseline","Left","","3","0","0","1","Neither","2","2","Platform","Defense","Loss","178","311","Was trying very hard but couldn’t pick up cubes.  Tried to snatch a cube when another robot dropped it"
"2018/03/01 4:38:06 PM EST","6032","Practice","27","Nothing - robot did not move","Right","","1","7","3","0","Pick cube off the floor","2","2","Neither","Offense","Loss","178","311","Small but efficient "
"2018/03/01 4:38:14 PM EST","4028","Practice","27","Put Cube(s) in Switch (if multiple specify below);Put Cube(s) in Scale (if multiple specify below)","Left","","5","1","2","3","Pick cube off the floor","3","3","Platform","Offense","Win","311","178","Autonomous was very good"
